"","V1","V2","V3","V4"
"47573",1,0.163658513856568,0.163658513856568,1
"47574",1,0.520895035541551,0.520895035541551,1
"47575",1,0.520895035541551,0.520895035541551,1
"47576",1,0.644856163486953,0.644856163486953,1
"47577",1,0.644856163486953,0.644856163486953,1
"47578",1,0.644856163486953,0.644856163486953,1
"47579",1,0.644856163486953,0.644856163486953,1
"47580",1,0.644856163486953,0.644856163486953,1
"47581",1,-0.457433183630535,-0.457433183630535,1
"47582",1,0.0742530739943792,0.0742530739943792,1
"47583",1,0.0742530739943792,0.0742530739943792,1
"47584",1,0.757318562935124,0.757318562935124,1
"47585",1,0.0849460186901054,0.0849460186901054,1
"47586",1,0.143237408648466,0.143237408648466,1
"47587",1,-0.737531039270844,-0.737531039270844,1
"47588",1,0.126591844369097,0.126591844369097,1
"47589",1,0.210019356014582,0.210019356014582,1
"47590",1,0.210019356014582,0.210019356014582,1
"47591",1,-0.758691706681768,-0.758691706681768,1
"47592",1,-0.410611722188584,-0.410611722188584,1
"47593",1,0.495422413167797,0.495422413167797,1
"47594",1,0.201475900946853,0.201475900946853,1
"47595",1,-0.328874303637284,-0.328874303637284,1
"47596",1,0.642087221425343,0.642087221425343,1
"47597",1,0.642087221425343,0.642087221425343,1
"47598",1,0.642087221425343,0.642087221425343,1
"47599",1,-0.117550431153877,-0.117550431153877,1
"47600",1,-0.638269031481252,-0.638269031481252,1
"47601",1,-0.638269031481252,-0.638269031481252,1
"47602",1,-0.638269031481252,-0.638269031481252,1
"47603",1,-0.638269031481252,-0.638269031481252,1
"47604",1,-0.156478424506735,-0.156478424506735,1
"47605",1,0.403115885756217,0.403115885756217,1
"47606",1,-0.109551973333176,-0.109551973333176,1
"47607",1,-0.109551973333176,-0.109551973333176,1
"47608",1,-0.327374812052908,-0.327374812052908,1
"47609",1,-0.358517480175625,-0.358517480175625,1
"47610",1,-0.358517480175625,-0.358517480175625,1
"47611",1,0.34831236151489,0.34831236151489,1
"47612",1,0.384182870290206,0.384182870290206,1
"47613",1,-0.750002165909278,-0.750002165909278,1
"47614",1,0.850694813794676,0.850694813794676,1
"47615",1,0.850694813794676,0.850694813794676,1
"47616",1,0.0718907252539573,0.0718907252539573,1
"47617",1,0.0718907252539573,0.0718907252539573,1
"47618",1,0.0718907252539573,0.0718907252539573,1
"47619",1,0.0718907252539573,0.0718907252539573,1
"47620",1,-0.0127076094684827,-0.0127076094684827,1
"47621",1,-0.0127076094684827,-0.0127076094684827,1
"47622",1,-0.159099088328938,-0.159099088328938,1
"47623",1,-0.540937963335385,-0.540937963335385,1
"47624",1,-0.00216026971541605,-0.00216026971541605,1
"47625",1,-0.00216026971541605,-0.00216026971541605,1
"47626",1,-0.00216026971541605,-0.00216026971541605,1
"47627",1,-0.259771953587914,-0.259771953587914,1
"47628",1,-0.259771953587914,-0.259771953587914,1
"47629",1,0.0554395210873608,0.0554395210873608,1
"47630",1,0.382027617289419,0.382027617289419,1
"47631",1,0.0129971676226304,0.0129971676226304,1
"47632",1,0.0129971676226304,0.0129971676226304,1
"47633",1,0.0129971676226304,0.0129971676226304,1
"47634",1,0.0129971676226304,0.0129971676226304,1
"47635",1,0.0129971676226304,0.0129971676226304,1
"47636",1,0.0129971676226304,0.0129971676226304,1
"47637",1,0.0129971676226304,0.0129971676226304,1
"47638",1,0.0129971676226304,0.0129971676226304,1
"47639",1,0.0129971676226304,0.0129971676226304,1
"47640",1,0.0129971676226304,0.0129971676226304,1
"47641",1,0.0129971676226304,0.0129971676226304,1
"47642",1,0.0129971676226304,0.0129971676226304,1
"47643",1,0.457383653675853,0.457383653675853,1
"47644",1,0.457383653675853,0.457383653675853,1
"47645",1,-0.0189996602642126,-0.0189996602642126,1
"47646",1,0.483304954466252,0.483304954466252,1
"47647",1,0.483304954466252,0.483304954466252,1
"47648",1,-0.0700327591628347,-0.0700327591628347,1
"47649",1,0.612660994366136,0.612660994366136,1
"47650",1,0.423227596898094,0.423227596898094,1
"47651",1,0.409938403806555,0.409938403806555,1
"47652",1,0.667350131500887,0.667350131500887,1
"47653",1,-0.800035167316089,-0.800035167316089,1
"47654",1,-0.264978217027969,-0.264978217027969,1
"47655",1,-0.264978217027969,-0.264978217027969,1
"47656",1,-0.494680115564999,-0.494680115564999,1
"47657",1,-0.494680115564999,-0.494680115564999,1
"47658",1,0.417872859987977,0.417872859987977,1
"47659",1,-0.449424593710871,-0.449424593710871,1
"47660",1,0.512587777521594,0.512587777521594,1
"47661",1,0.512587777521594,0.512587777521594,1
"47662",1,-0.460797950337816,-0.460797950337816,1
"47663",1,-0.685058399347795,-0.685058399347795,1
"47664",1,-0.685058399347795,-0.685058399347795,1
"47665",1,-0.685058399347795,-0.685058399347795,1
"47666",1,-0.685058399347795,-0.685058399347795,1
"47667",1,-0.310511085862443,-0.310511085862443,1
"47668",1,-0.310511085862443,-0.310511085862443,1
"47669",1,-0.310511085862443,-0.310511085862443,1
"47670",1,-0.310511085862443,-0.310511085862443,1
"47671",1,-0.310511085862443,-0.310511085862443,1
"47672",1,-0.952857095293273,-0.952857095293273,1
"47673",1,-0.952857095293273,-0.952857095293273,1
"47674",1,-0.952857095293273,-0.952857095293273,1
"47675",1,-0.353154171269615,-0.353154171269615,1
"47676",1,0.168028300988987,0.168028300988987,1
"47677",1,0.0569634114261073,0.0569634114261073,1
"47678",1,-0.845210339458633,-0.845210339458633,1
"47679",1,-0.845210339458633,-0.845210339458633,1
